,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,57,HOU,Zach Cunningham,LB,22,2020,0,0,4,27,27,62,0,0,0,0,0,0,0,0,0,0,0,326,1,6.5,Vanderbilt,College Stats
2,58,SEA,Ethan Pocic,C,22,2020,0,0,1,15,15,44,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,College Stats
2,59,KAN,Tanoh Kpassagnon,DE,23,2020,0,0,2,14,14,61,0,0,0,0,0,0,0,0,0,0,0,52,,7,Villanova,
2,60,DAL,Chidobe Awuzie,CB,22,2020,0,0,2,15,15,49,0,0,0,0,0,0,0,0,0,0,0,148,4,,Colorado,College Stats
2,61,GNB,Josh Jones,S,22,2020,0,0,1,12,8,48,0,0,0,0,0,0,0,0,0,0,0,160,2,3,North Carolina St.,College Stats
2,62,PIT,JuJu Smith-Schuster,WR,20,2020,0,1,3,29,29,58,0,0,0,0,0,1,13,0,308,3726,26,,,,USC,College Stats
2,63,BUF,Dion Dawkins,G,23,2020,0,0,4,24,24,64,0,0,0,0,0,0,0,0,2,8,2,,,,Temple,College Stats
2,64,CAR,Taylor Moton,G,23,2020,0,0,3,21,21,64,0,0,0,0,0,0,0,0,0,0,0,,,,Western Michigan,College Stats
3,65,CLE,Larry Ogunjobi,DT,23,2020,0,0,3,22,22,60,0,0,0,0,0,0,0,0,0,0,0,108,,14.5,Charlotte,College Stats
3,66,SFO,Ahkello Witherspoon,CB,22,2020,0,0,2,11,11,47,0,0,0,0,0,0,0,0,0,0,0,99,4,,Colorado,College Stats
3,67,NOR,Alvin Kamara,RB,22,2020,0,4,3,50,50,60,1,1,13,0,0,672,3340,43,326,2824,15,,,,Tennessee,College Stats
3,68,JAX,Dawuane Smoot,DE,22,2020,0,0,0,9,9,56,0,0,0,0,0,0,0,0,0,0,0,50,,11.5,Illinois,College Stats
3,69,LAR,Cooper Kupp,WR,24,2020,0,0,3,29,29,54,0,2,0,0,0,10,62,0,288,3570,24,,,,East. Washington,
3,70,MIN,Pat Elflein,C,23,2020,0,0,3,24,22,50,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats
3,71,LAC,Dan Feeney,G,23,2020,0,0,4,28,28,63,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana,College Stats
3,72,TEN,Taywan Taylor,WR,22,2020,0,0,0,6,6,35,0,0,0,0,0,8,43,0,53,697,2,4,,,Western Kentucky,College Stats
3,73,CIN,Jordan Willis,OLB,22,2020,0,0,0,6,4,50,0,0,0,0,0,0,0,0,0,0,0,43,,5.5,Kansas St.,College Stats
3,74,BAL,Chris Wormley,DE,23,2020,0,0,2,10,9,52,0,0,0,0,0,0,0,0,0,0,0,38,,3.5,Michigan,College Stats
3,75,ATL,Duke Riley,LB,23,2020,0,0,2,11,7,57,0,0,0,0,0,0,0,0,0,0,0,94,1,0.5,LSU,College Stats
3,76,NOR,Alex Anzalone,LB,22,2020,0,0,0,11,11,38,0,0,0,0,0,0,0,0,0,0,0,85,1,4,Florida,College Stats
3,77,CAR,Daeshon Hall,DE,22,2019,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,6,,1.5,Texas A&M,College Stats
3,78,BAL,Tim Williams,OLB,23,2019,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,13,,2,Alabama,College Stats
3,79,NYJ,ArDarius Stewart,WR,23,2017,0,0,0,1,1,15,0,0,0,0,0,7,27,0,6,82,0,,,,Alabama,College Stats
3,80,IND,Tarell Basham,DE,23,2020,0,0,1,9,1,58,0,0,0,0,0,0,0,0,0,0,0,48,1,7.5,Ohio,College Stats
3,81,WAS,Fabian Moreau,CB,23,2020,0,0,1,15,15,60,0,0,0,0,0,0,0,0,0,0,0,84,6,,UCLA,College Stats
3,82,DEN,Carlos Henderson,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Louisiana Tech,College Stats
3,83,NWE,Derek Rivers,DE,23,2020,0,0,0,2,2,19,0,0,0,0,0,0,0,0,0,0,0,4,,2.5,Youngstown St.,
3,84,TAM,Chris Godwin,WR,21,2020,0,1,2,26,26,58,0,0,0,0,0,1,8,0,244,3540,24,7,,,Penn St.,College Stats
3,85,NWE,Antonio Garcia,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Troy,College Stats
3,86,KAN,Kareem Hunt,RB,22,2020,0,1,2,34,25,51,0,0,0,0,0,694,3171,23,154,1422,16,,,,Toledo,College Stats
3,87,NYG,Davis Webb,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,California,College Stats
