Institution Year,Conference,Year,Year AvgAttendance,Nullify,Institution,% Attendance Change,Additive Attendance Change,Number of Records,Prior Year AvgAttendance,Prior Year CWS,Prior Year RPI,Prior Year Tournament,Prior Year WL%
Cincinnati 2015,AAC,2015,558,0,Cincinnati,-0.337292162,-284,1,842,0,0.49012,0,0.415094340
East Carolina 2015,AAC,2015,2066,0,East Carolina,-0.050114943,-109,1,2175,0,0.52851,0,0.559322034
Houston 2015,AAC,2015,1725,0,Houston,0.281575037,379,1,1346,0,0.59805,1,0.727272727
Memphis 2015,AAC,2015,794,0,Memphis,0.159124088,109,1,685,0,0.51256,0,0.508474576
South Fla. 2015,AAC,2015,749,0,South Fla.,-0.436842105,-581,1,1330,0,0.49975,0,0.465517241
Tulane 2015,AAC,2015,2059,0,Tulane,0.128219178,234,1,1825,0,0.49874,0,0.442307692
UCF 2015,AAC,2015,1347,0,UCF,-0.048728814,-69,1,1416,0,0.54715,0,0.610169492
UConn 2015,AAC,2015,196,0,UConn,-0.317073171,-91,1,287,0,0.50402,0,0.465517241
Albany (NY) 2015,America East,2015,207,0,Albany (NY),0.072538860,14,1,193,0,0.42895,0,0.266666667
Binghamton 2015,America East,2015,194,0,Binghamton,-0.084905660,-18,1,212,0,0.49497,1,0.480769231
Hartford 2015,America East,2015,236,0,Hartford,-0.223684211,-68,1,304,0,0.50773,0,0.574074074
Maine 2015,America East,2015,325,0,Maine,-0.029850746,-10,1,335,0,0.45438,0,0.42
Stony Brook 2015,America East,2015,158,0,Stony Brook,-0.394636015,-103,1,261,0,0.51323,0,0.660377358
UMass Lowell 2015,America East,2015,156,0,UMass Lowell,-0.093023256,-16,1,172,0,0.46533,0,0.476190476
UMBC 2015,America East,2015,222,0,UMBC,0.48,72,1,150,0,0.44171,0,0.369565217
FGCU 2015,ASUN,2015,318,0,FGCU,-0.398865784,-211,1,529,0,0.52752,0,0.639344262
Jacksonville 2015,ASUN,2015,217,0,Jacksonville,-0.205128205,-56,1,273,0,0.4893,0,0.388888889
Kennesaw St. 2015,ASUN,2015,521,0,Kennesaw St.,-0.003824092,-2,1,523,0,0.54524,1,0.625
Lipscomb 2015,ASUN,2015,329,0,Lipscomb,0.034591195,11,1,318,0,0.49452,0,0.540983607
NJIT 2015,ASUN,2015,176,0,NJIT,-0.228070175,-52,1,228,0,0.39979,0,0.444444444
North Florida 2015,ASUN,2015,324,0,North Florida,-0.181818182,-72,1,396,0,0.48215,0,0.415094340
Stetson 2015,ASUN,2015,648,0,Stetson,-0.006134969,-4,1,652,0,0.48408,0,0.433333333
USC Upstate 2015,ASUN,2015,113,0,USC Upstate,0.008928571,1,1,112,0,0.43604,0,0.309090909
Davidson 2015,Atlantic 10,2015,366,0,Davidson,0.407692308,106,1,260,0,0.51901,0,0.604166667
Dayton 2015,Atlantic 10,2015,159,0,Dayton,-0.220588235,-45,1,204,0,0.46659,0,0.433962264
Fordham 2015,Atlantic 10,2015,163,0,Fordham,-0.094444444,-17,1,180,0,0.45794,0,0.444444444
George Mason 2015,Atlantic 10,2015,264,0,George Mason,1.163934426,142,1,122,0,0.50998,1,0.607142857
George Washington 2015,Atlantic 10,2015,126,0,George Washington,-0.080291971,-11,1,137,0,0.43428,0,0.4
La Salle 2015,Atlantic 10,2015,72,0,La Salle,-0.672727273,-148,1,220,0,0.44556,0,0.295918367
Massachusetts 2015,Atlantic 10,2015,210,0,Massachusetts,0.272727273,45,1,165,0,0.46116,0,0.326086957
Rhode Island 2015,Atlantic 10,2015,161,0,Rhode Island,-0.012269939,-2,1,163,0,0.4296,0,0.245283019
Richmond 2015,Atlantic 10,2015,240,0,Richmond,-0.076923077,-20,1,260,0,0.48329,0,0.462264151
Saint Joseph's 2015,Atlantic 10,2015,212,0,Saint Joseph's,0.024154589,5,1,207,0,0.52192,0,0.686274510
Saint Louis 2015,Atlantic 10,2015,173,0,Saint Louis,0.042168675,7,1,166,0,0.49519,0,0.616071429
St. Bonaventure 2015,Atlantic 10,2015,159,0,St. Bonaventure,0.261904762,33,1,126,0,0.41748,0,0.285714286
VCU 2015,Atlantic 10,2015,461,0,VCU,-0.113461538,-59,1,520,0,0.52571,0,0.649122807
Boston College 2015,Atlantic Coast,2015,551,0,Boston College,0.197826087,91,1,460,0,0.49373,0,0.4
Clemson 2015,Atlantic Coast,2015,3967,0,Clemson,-0.066588235,-283,1,4250,0,0.54079,1,0.590163934
Duke 2015,Atlantic Coast,2015,358,0,Duke,-0.126829268,-52,1,410,0,0.52577,0,0.568965517
Florida St. 2015,Atlantic Coast,2015,4278,0,Florida St.,-0.147638972,-741,1,5019,0,0.59288,1,0.716666667
Georgia Tech 2015,Atlantic Coast,2015,1476,0,Georgia Tech,0.126717557,166,1,1310,0,0.55614,1,0.578125
Louisville 2015,Atlantic Coast,2015,2360,0,Louisville,0.271551724,504,1,1856,1,0.5781,1,0.746268657
Miami (FL) 2015,Atlantic Coast,2015,2665,0,Miami (FL),-0.000375094,-1,1,2666,0,0.57879,1,0.698412698
North Carolina 2015,Atlantic Coast,2015,1721,0,North Carolina,0.094783715,149,1,1572,0,0.55007,1,0.564516129
North Carolina St. 2015,Atlantic Coast,2015,1246,0,North Carolina St.,-0.048854962,-64,1,1310,0,0.53723,0,0.581818182
Notre Dame 2015,Atlantic Coast,2015,515,0,Notre Dame,0.323907455,126,1,389,0,0.48289,0,0.403846154
Pittsburgh 2015,Atlantic Coast,2015,354,0,Pittsburgh,-0.048387097,-18,1,372,0,0.49344,0,0.423076923
Virginia 2015,Atlantic Coast,2015,3645,0,Virginia,-0.028,-105,1,3750,1,0.61116,1,0.768115942
Virginia Tech 2015,Atlantic Coast,2015,963,0,Virginia Tech,0.175824176,144,1,819,0,0.4989,0,0.405660377
Wake Forest 2015,Atlantic Coast,2015,648,0,Wake Forest,0.048543689,30,1,618,0,0.5266,0,0.535714286
Baylor 2015,Big 12,2015,2344,0,Baylor,-0.106366756,-279,1,2623,0,0.52849,0,0.456140351
Kansas 2015,Big 12,2015,1188,0,Kansas,0.044854881,51,1,1137,0,0.5502,1,0.573770492
Kansas St. 2015,Big 12,2015,2631,0,Kansas St.,-0.060357143,-169,1,2800,0,0.51822,0,0.454545455
Oklahoma 2015,Big 12,2015,1023,0,Oklahoma,-0.082511211,-92,1,1115,0,0.52616,0,0.5
Oklahoma St. 2015,Big 12,2015,1422,0,Oklahoma St.,0.171334432,208,1,1214,0,0.57525,1,0.727272727
TCU 2015,Big 12,2015,3982,0,TCU,0.142939150,498,1,3484,1,0.59473,1,0.727272727
Texas 2015,Big 12,2015,4915,0,Texas,-0.086770717,-467,1,5382,1,0.60039,1,0.686567164
Texas Tech 2015,Big 12,2015,3299,0,Texas Tech,0.366045549,884,1,2415,1,0.58867,1,0.681818182
West Virginia 2015,Big 12,2015,1507,0,West Virginia,0.372495446,409,1,1098,0,0.55311,0,0.518518519
Butler 2015,Big East,2015,191,0,Butler,0.446969697,59,1,132,0,0.44434,0,0.347826087
Creighton 2015,Big East,2015,3126,0,Creighton,0.050403226,150,1,2976,0,0.53308,0,0.65
Georgetown 2015,Big East,2015,299,0,Georgetown,0.845679012,137,1,162,0,0.45741,0,0.395833333
Seton Hall 2015,Big East,2015,186,0,Seton Hall,0,0,1,186,0,0.51819,0,0.716981132
St. John's (NY) 2015,Big East,2015,221,0,St. John's (NY),-0.116,-29,1,250,0,0.5176,0,0.629629630
Villanova 2015,Big East,2015,226,0,Villanova,-0.147169811,-39,1,265,0,0.4398,0,0.32
Xavier 2015,Big East,2015,268,0,Xavier,-0.014705882,-4,1,272,0,0.52373,1,0.508474576
Campbell 2015,Big South,2015,346,0,Campbell,-0.189695550,-81,1,427,0,0.53526,1,0.661290323
Charleston So. 2015,Big South,2015,206,0,Charleston So.,0.329032258,51,1,155,0,0.46993,0,0.535714286
Gardner-Webb 2015,Big South,2015,165,0,Gardner-Webb,-0.051724138,-9,1,174,0,0.46908,0,0.425925926
High Point 2015,Big South,2015,440,0,High Point,-0.037199125,-17,1,457,0,0.53607,0,0.6
Liberty 2015,Big South,2015,1311,0,Liberty,0.098910310,118,1,1193,0,0.553,1,0.694915254
Longwood 2015,Big South,2015,217,0,Longwood,-0.068669528,-16,1,233,0,0.4609,0,0.4
Presbyterian 2015,Big South,2015,192,0,Presbyterian,0.170731707,28,1,164,0,0.45297,0,0.361111111
Radford 2015,Big South,2015,392,0,Radford,0.593495935,146,1,246,0,0.52076,0,0.589285714
UNC Asheville 2015,Big South,2015,275,0,UNC Asheville,0.279069767,60,1,215,0,0.42995,0,0.245283019
Winthrop 2015,Big South,2015,329,0,Winthrop,0.061290323,19,1,310,0,0.47574,0,0.45
Illinois 2015,Big Ten,2015,1662,0,Illinois,0.713402062,692,1,970,0,0.53924,0,0.603773585
Indiana 2015,Big Ten,2015,2207,0,Indiana,-0.197162605,-542,1,2749,0,0.59365,1,0.745762712
Iowa 2015,Big Ten,2015,894,0,Iowa,0.421303657,265,1,629,0,0.5099,0,0.549019608
Maryland 2015,Big Ten,2015,627,0,Maryland,0.468384075,200,1,427,0,0.57329,1,0.634920635
Michigan 2015,Big Ten,2015,615,0,Michigan,-0.109985528,-76,1,691,0,0.51703,0,0.508333333
Michigan St. 2015,Big Ten,2015,802,0,Michigan St.,-0.337190083,-408,1,1210,0,0.51926,0,0.543859649
Minnesota 2015,Big Ten,2015,406,0,Minnesota,-0.189620758,-95,1,501,0,0.51121,0,0.520833333
Nebraska 2015,Big Ten,2015,3904,0,Nebraska,0.300466356,902,1,3002,0,0.55797,1,0.661290323
Northwestern 2015,Big Ten,2015,273,0,Northwestern,0.100806452,25,1,248,0,0.46059,0,0.34
Ohio St. 2015,Big Ten,2015,1048,0,Ohio St.,0.142857143,131,1,917,0,0.50598,0,0.517241379
Penn St. 2015,Big Ten,2015,801,0,Penn St.,-0.257645968,-278,1,1079,0,0.45717,0,0.36
Purdue 2015,Big Ten,2015,734,0,Purdue,-0.130331754,-110,1,844,0,0.47171,0,0.26
Rutgers 2015,Big Ten,2015,183,0,Rutgers,-0.107317073,-22,1,205,0,0.52474,0,0.545454545
Cal Poly 2015,Big West,2015,1107,0,Cal Poly,-0.333132530,-553,1,1660,0,0.57976,1,0.796610169
Cal St. Fullerton 2015,Big West,2015,1998,0,Cal St. Fullerton,0.008581524,17,1,1981,0,0.54911,1,0.586206897
CSUN 2015,Big West,2015,302,0,CSUN,0.003322259,1,1,301,0,0.48236,0,0.321428571
Hawaii 2015,Big West,2015,3266,0,Hawaii,0.069767442,213,1,3053,0,0.48623,0,0.415094340
Long Beach St. 2015,Big West,2015,1360,0,Long Beach St.,0.006661732,9,1,1351,0,0.56039,1,0.566666667
UC Davis 2015,Big West,2015,304,0,UC Davis,-0.121387283,-42,1,346,0,0.48137,0,0.425925926
UC Irvine 2015,Big West,2015,757,0,UC Irvine,0.161042945,105,1,652,1,0.5681,1,0.621212121
UC Riverside 2015,Big West,2015,366,0,UC Riverside,0.028089888,10,1,356,0,0.52592,0,0.481481481
UC Santa Barbara 2015,Big West,2015,451,0,UC Santa Barbara,-0.094377510,-47,1,498,0,0.54674,0,0.663461538
Col. of Charleston 2015,Colonial,2015,476,0,Col. of Charleston,0.050772627,23,1,453,0,0.55125,1,0.698412698
Delaware 2015,Colonial,2015,180,0,Delaware,-0.076923077,-15,1,195,0,0.49273,0,0.5
Elon 2015,Colonial,2015,299,0,Elon,-0.047770701,-15,1,314,0,0.4993,0,0.509433962
Hofstra 2015,Colonial,2015,175,0,Hofstra,-0.022346369,-4,1,179,0,0.46039,0,0.441860465
James Madison 2015,Colonial,2015,461,0,James Madison,-0.152573529,-83,1,544,0,0.47253,0,0.320754717
Northeastern 2015,Colonial,2015,70,0,Northeastern,-0.363636364,-40,1,110,0,0.47828,0,0.472727273
Towson 2015,Colonial,2015,149,0,Towson,-0.337777778,-76,1,225,0,0.50222,0,0.468085106
UNCW 2015,Colonial,2015,1104,0,UNCW,-0.039164491,-45,1,1149,0,0.52088,0,0.526315789
William & Mary 2015,Colonial,2015,307,0,William & Mary,0.096428571,27,1,280,0,0.53112,0,0.607142857
Charlotte 2015,Conference USA,2015,899,0,Charlotte,0.169050715,130,1,769,0,0.48747,0,0.382352941
FIU 2015,Conference USA,2015,325,0,FIU,-0.304068522,-142,1,467,0,0.52502,0,0.629629630
Fla. Atlantic 2015,Conference USA,2015,458,0,Fla. Atlantic,0.024608501,11,1,447,0,0.52041,0,0.528301887
Louisiana Tech 2015,Conference USA,2015,543,0,Louisiana Tech,0.347394541,140,1,403,0,0.45188,0,0.3
Marshall 2015,Conference USA,2015,465,0,Marshall,1.290640394,262,1,203,0,0.45869,0,0.340425532
Middle Tenn. 2015,Conference USA,2015,587,0,Middle Tenn.,-0.298685783,-250,1,837,0,0.52434,0,0.534482759
Old Dominion 2015,Conference USA,2015,809,0,Old Dominion,0.298555377,186,1,623,0,0.55083,1,0.580645161
Rice 2015,Conference USA,2015,2903,0,Rice,0.061038012,167,1,2736,0,0.58705,1,0.677419355
Southern Miss. 2015,Conference USA,2015,2670,0,Southern Miss.,0.008308157,22,1,2648,0,0.53448,0,0.583333333
UAB 2015,Conference USA,2015,676,0,UAB,0.099186992,61,1,615,0,0.52732,0,0.625
UTSA 2015,Conference USA,2015,386,0,UTSA,0.331034483,96,1,290,0,0.51889,0,0.573770492
Western Ky. 2015,Conference USA,2015,525,0,Western Ky.,0.229508197,98,1,427,0,0.50771,0,0.508771930
Ill.-Chicago 2015,Horizon,2015,308,0,Ill.-Chicago,0.439252336,94,1,214,0,0.44128,0,0.470588235
Milwaukee 2015,Horizon,2015,170,0,Milwaukee,-0.028571429,-5,1,175,0,0.4206,0,0.391304348
Northern Ky. 2015,Horizon,2015,141,0,Northern Ky.,0.532608696,49,1,92,0,0.43653,0,0.274509804
Oakland 2015,Horizon,2015,128,0,Oakland,-0.058823529,-8,1,136,0,0.43918,0,0.266666667
Valparaiso 2015,Horizon,2015,213,0,Valparaiso,0.163934426,30,1,183,0,0.46986,0,0.470588235
Wright St. 2015,Horizon,2015,325,0,Wright St.,0.217228464,58,1,267,0,0.50814,0,0.614035088
Youngstown St. 2015,Horizon,2015,535,0,Youngstown St.,0.361323155,142,1,393,0,0.43745,1,0.309090909
NYIT 2015,Independent,2015,33,0,NYIT,-0.4,-22,1,55,0,0.36977,0,0.08
Brown 2015,Ivy League,2015,205,0,Brown,0.814159292,92,1,113,0,0.45042,0,0.351351351
Columbia 2015,Ivy League,2015,401,0,Columbia,2.341666667,281,1,120,0,0.55091,1,0.591836735
Cornell 2015,Ivy League,2015,185,0,Cornell,0.088235294,15,1,170,0,0.46976,0,0.461538462
Dartmouth 2015,Ivy League,2015,189,0,Dartmouth,-0.305147059,-83,1,272,0,0.48447,0,0.447368421
Harvard 2015,Ivy League,2015,270,0,Harvard,0.928571429,130,1,140,0,0.42794,0,0.282051282
Penn 2015,Ivy League,2015,193,0,Penn,-0.010256410,-2,1,195,0,0.50215,0,0.575
Princeton 2015,Ivy League,2015,268,0,Princeton,0.835616438,122,1,146,0,0.46269,0,0.35
Yale 2015,Ivy League,2015,198,0,Yale,-0.171548117,-41,1,239,0,0.45606,0,0.45
Canisius 2015,Metro Atlantic,2015,123,0,Canisius,-0.312849162,-56,1,179,0,0.53218,0,0.714285714
Fairfield 2015,Metro Atlantic,2015,104,0,Fairfield,0.155555556,14,1,90,0,0.49532,0,0.581818182
Iona 2015,Metro Atlantic,2015,163,0,Iona,0,0,1,163,0,0.41567,0,0.295454545
Manhattan 2015,Metro Atlantic,2015,177,0,Manhattan,0.372093023,48,1,129,0,0.42764,0,0.34
Marist 2015,Metro Atlantic,2015,182,0,Marist,0.205298013,31,1,151,0,0.43487,0,0.346938776
Monmouth 2015,Metro Atlantic,2015,128,0,Monmouth,-0.288888889,-52,1,180,0,0.47352,0,0.489795918
Niagara 2015,Metro Atlantic,2015,196,0,Niagara,0.619834711,75,1,121,0,0.43934,0,0.392156863
Quinnipiac 2015,Metro Atlantic,2015,277,0,Quinnipiac,-0.057823129,-17,1,294,0,0.45425,0,0.367346939
Rider 2015,Metro Atlantic,2015,137,0,Rider,-0.035211268,-5,1,142,0,0.4142,0,0.326530612
Saint Peter's 2015,Metro Atlantic,2015,78,0,Saint Peter's,-0.152173913,-14,1,92,0,0.40985,0,0.211538462
Siena 2015,Metro Atlantic,2015,127,0,Siena,0.040983607,5,1,122,0,0.48235,1,0.45
Ball St. 2015,Mid-American,2015,317,0,Ball St.,0.569306931,115,1,202,0,0.5363,0,0.672727273
Bowling Green 2015,Mid-American,2015,226,0,Bowling Green,-0.178181818,-49,1,275,0,0.5004,0,0.480769231
Buffalo 2015,Mid-American,2015,115,0,Buffalo,0.796875,51,1,64,0,0.48696,0,0.5
Central Mich. 2015,Mid-American,2015,280,0,Central Mich.,-0.188405797,-65,1,345,0,0.50722,0,0.596491228
Eastern Mich. 2015,Mid-American,2015,235,0,Eastern Mich.,0.556291391,84,1,151,0,0.435,0,0.32
Kent St. 2015,Mid-American,2015,181,0,Kent St.,-0.324626866,-87,1,268,0,0.50737,1,0.603448276
Miami (OH) 2015,Mid-American,2015,407,0,Miami (OH),-0.037825059,-16,1,423,0,0.51461,0,0.526315789
Northern Ill. 2015,Mid-American,2015,251,0,Northern Ill.,0.130630631,29,1,222,0,0.46306,0,0.324074074
Ohio 2015,Mid-American,2015,453,0,Ohio,0.348214286,117,1,336,0,0.39865,0,0.22
Toledo 2015,Mid-American,2015,167,0,Toledo,-0.197115385,-41,1,208,0,0.47476,0,0.407407407
Western Mich. 2015,Mid-American,2015,257,0,Western Mich.,0.304568528,60,1,197,0,0.48044,0,0.436363636
Bethune-Cookman 2015,Mid-Eastern,2015,88,0,Bethune-Cookman,-0.65625,-168,1,256,0,0.47636,1,0.45
Coppin St. 2015,Mid-Eastern,2015,122,0,Coppin St.,0.487804878,40,1,82,0,0.39261,0,0.260869565
Delaware St. 2015,Mid-Eastern,2015,66,0,Delaware St.,-0.083333333,-6,1,72,0,0.44412,0,0.638297872
Florida A&M 2015,Mid-Eastern,2015,162,0,Florida A&M,-0.301724138,-70,1,232,0,0.46567,0,0.5
N.C. A&T 2015,Mid-Eastern,2015,108,0,N.C. A&T,0.018867925,2,1,106,0,0.42735,0,0.346938776
N.C. Central 2015,Mid-Eastern,2015,115,0,N.C. Central,-0.08,-10,1,125,0,0.41326,0,0.343137255
Norfolk St. 2015,Mid-Eastern,2015,133,0,Norfolk St.,0.108333333,13,1,120,0,0.44121,0,0.458333333
Savannah St. 2015,Mid-Eastern,2015,132,0,Savannah St.,-0.2,-33,1,165,0,0.44161,0,0.415094340
UMES 2015,Mid-Eastern,2015,73,0,UMES,-0.27,-27,1,100,0,0.39702,0,0.270833333
Bradley 2015,Missouri Valley,2015,361,0,Bradley,0.293906810,82,1,279,0,0.49066,0,0.448979592
Dallas Baptist 2015,Missouri Valley,2015,875,0,Dallas Baptist,0.739562624,372,1,503,0,0.55454,1,0.655737705
Evansville 2015,Missouri Valley,2015,310,0,Evansville,0.139705882,38,1,272,0,0.52696,0,0.622641509
Illinois St. 2015,Missouri Valley,2015,453,0,Illinois St.,0.429022082,136,1,317,0,0.52518,0,0.568627451
Indiana St. 2015,Missouri Valley,2015,262,0,Indiana St.,0.180180180,40,1,222,0,0.5582,1,0.660377358
Missouri St. 2015,Missouri Valley,2015,1764,0,Missouri St.,1.747663551,1122,1,642,0,0.51545,0,0.456140351
Southern Ill. 2015,Missouri Valley,2015,374,0,Southern Ill.,-0.244444444,-121,1,495,0,0.4743,0,0.456140351
Wichita St. 2015,Missouri Valley,2015,2812,0,Wichita St.,0.032684539,89,1,2723,0,0.52715,0,0.525423729
Air Force 2015,Mountain West,2015,166,0,Air Force,0.257575758,34,1,132,0,0.46237,0,0.358490566
Fresno St. 2015,Mountain West,2015,1368,0,Fresno St.,0.062937063,81,1,1287,0,0.51377,0,0.491228070
Nevada 2015,Mountain West,2015,1094,0,Nevada,1.848958333,710,1,384,0,0.5056,0,0.534482759
New Mexico 2015,Mountain West,2015,772,0,New Mexico,0.040431267,30,1,742,0,0.53153,0,0.646551724
San Diego St. 2015,Mountain West,2015,517,0,San Diego St.,-0.117747440,-69,1,586,0,0.55146,1,0.666666667
San Jose St. 2015,Mountain West,2015,411,0,San Jose St.,0.119891008,44,1,367,0,0.47798,0,0.333333333
UNLV 2015,Mountain West,2015,933,0,UNLV,0.086146682,74,1,859,0,0.55715,1,0.590163934
Bryant 2015,Northeast,2015,278,0,Bryant,0.447916667,86,1,192,0,0.5484,1,0.724137931
Central Conn. St. 2015,Northeast,2015,145,0,Central Conn. St.,-0.076433121,-12,1,157,0,0.50272,0,0.551020408
Fairleigh Dickinson 2015,Northeast,2015,97,0,Fairleigh Dickinson,0.197530864,16,1,81,0,0.44116,0,0.319148936
LIU Brooklyn 2015,Northeast,2015,158,0,LIU Brooklyn,-0.0125,-2,1,160,0,0.47086,0,0.5
Mt. St. Mary's 2015,Northeast,2015,128,0,Mt. St. Mary's,0.347368421,33,1,95,0,0.45261,0,0.414634146
Sacred Heart 2015,Northeast,2015,77,0,Sacred Heart,-0.388888889,-49,1,126,0,0.51022,0,0.508771930
Wagner 2015,Northeast,2015,95,0,Wagner,-0.431137725,-72,1,167,0,0.47262,0,0.351851852
Austin Peay 2015,OVC,2015,313,0,Austin Peay,0.079310345,23,1,290,0,0.45594,0,0.410714286
Belmont 2015,OVC,2015,256,0,Belmont,-0.019157088,-5,1,261,0,0.47689,0,0.445454545
Eastern Ill. 2015,OVC,2015,215,0,Eastern Ill.,-0.156862745,-40,1,255,0,0.49598,0,0.390909091
Eastern Ky. 2015,OVC,2015,114,0,Eastern Ky.,-0.142857143,-19,1,133,0,0.46917,0,0.436363636
Jacksonville St. 2015,OVC,2015,349,0,Jacksonville St.,-0.457231726,-294,1,643,0,0.52314,1,0.571428571
Morehead St. 2015,OVC,2015,242,0,Morehead St.,0.034188034,8,1,234,0,0.48195,0,0.490909091
Murray St. 2015,OVC,2015,141,0,Murray St.,-0.175438596,-30,1,171,0,0.46208,0,0.44
SIUE 2015,OVC,2015,180,0,SIUE,0.475409836,58,1,122,0,0.45071,0,0.384615385
Southeast Mo. St. 2015,OVC,2015,634,0,Southeast Mo. St.,0.020933977,13,1,621,0,0.52879,0,0.642857143
Tennessee Tech 2015,OVC,2015,255,0,Tennessee Tech,-0.227272727,-75,1,330,0,0.5113,0,0.672413793
UT Martin 2015,OVC,2015,217,0,UT Martin,0.391025641,61,1,156,0,0.40502,0,0.176470588
Arizona 2015,Pac-12,2015,2665,0,Arizona,0.057120190,144,1,2521,0,0.47634,0,0.4
Arizona St. 2015,Pac-12,2015,3014,0,Arizona St.,0.059774965,170,1,2844,0,0.54951,1,0.578947368
California 2015,Pac-12,2015,835,0,California,-0.003579952,-3,1,838,0,0.53893,0,0.490566038
Oregon 2015,Pac-12,2015,1575,0,Oregon,-0.042553191,-70,1,1645,0,0.56698,1,0.6875
Oregon St. 2015,Pac-12,2015,2668,0,Oregon St.,-0.024853801,-68,1,2736,0,0.58795,1,0.762711864
Southern California 2015,Pac-12,2015,826,0,Southern California,0.292644757,187,1,639,0,0.53629,0,0.547169811
Stanford 2015,Pac-12,2015,1602,0,Stanford,-0.026731470,-44,1,1646,0,0.56338,1,0.573770492
UCLA 2015,Pac-12,2015,1171,0,UCLA,0.387440758,327,1,844,0,0.51871,0,0.455357143
Utah 2015,Pac-12,2015,1289,0,Utah,0.041195477,51,1,1238,0,0.48139,0,0.307692308
Washington 2015,Pac-12,2015,910,0,Washington,-0.119070668,-123,1,1033,0,0.56719,1,0.703389831
Washington St. 2015,Pac-12,2015,1106,0,Washington St.,0.525517241,381,1,725,0,0.50294,0,0.444444444
Army West Point 2015,Patriot,2015,141,0,Army West Point,0.014388489,2,1,139,0,0.49746,0,0.647058824
Bucknell 2015,Patriot,2015,151,0,Bucknell,0.126865672,17,1,134,0,0.51774,1,0.594339623
Holy Cross 2015,Patriot,2015,309,0,Holy Cross,0.058219178,17,1,292,0,0.46792,0,0.295454545
Lafayette 2015,Patriot,2015,154,0,Lafayette,0.555555556,55,1,99,0,0.45288,0,0.365853659
Lehigh 2015,Patriot,2015,197,0,Lehigh,0.246835443,39,1,158,0,0.45813,0,0.510204082
Navy 2015,Patriot,2015,245,0,Navy,0.108597285,24,1,221,0,0.43493,0,0.44
Alabama 2015,Southeastern,2015,2808,0,Alabama,-0.229206698,-835,1,3643,0,0.56781,1,0.606557377
Arkansas 2015,Southeastern,2015,7817,0,Arkansas,0.071702769,523,1,7294,0,0.56177,1,0.615384615
Auburn 2015,Southeastern,2015,2707,0,Auburn,-0.118528167,-364,1,3071,0,0.52873,0,0.5
Florida 2015,Southeastern,2015,3550,0,Florida,0.110763454,354,1,3196,0,0.5947,1,0.634920635
Georgia 2015,Southeastern,2015,1997,0,Georgia,-0.026803119,-55,1,2052,0,0.53786,0,0.473214286
Kentucky 2015,Southeastern,2015,1829,0,Kentucky,-0.027644870,-52,1,1881,0,0.57455,1,0.596774194
LSU 2015,Southeastern,2015,10799,0,LSU,-0.007444853,-81,1,10880,0,0.58979,1,0.738095238
Mississippi St. 2015,Southeastern,2015,6598,0,Mississippi St.,-0.109701795,-813,1,7411,0,0.56327,1,0.619047619
Missouri 2015,Southeastern,2015,874,0,Missouri,-0.081932773,-78,1,952,0,0.50058,0,0.377358491
Ole Miss 2015,Southeastern,2015,8028,0,Ole Miss,0.036272105,281,1,7747,1,0.60027,1,0.695652174
South Carolina 2015,Southeastern,2015,6946,0,South Carolina,-0.068026298,-507,1,7453,0,0.58072,1,0.709677419
Tennessee 2015,Southeastern,2015,1875,0,Tennessee,-0.024960998,-48,1,1923,0,0.54438,0,0.574074074
Texas A&M 2015,Southeastern,2015,4857,0,Texas A&M,0.129009763,555,1,4302,0,0.55983,1,0.580645161
Vanderbilt 2015,Southeastern,2015,2915,0,Vanderbilt,0.063092633,173,1,2742,1,0.60416,1,0.708333333
ETSU 2015,Southern,2015,468,0,ETSU,-0.145985401,-80,1,548,0,0.48129,0,0.473684211
Furman 2015,Southern,2015,481,0,Furman,-0.051282051,-26,1,507,0,0.48352,0,0.440677966
Mercer 2015,Southern,2015,414,0,Mercer,0.505454545,139,1,275,0,0.54912,0,0.690909091
Samford 2015,Southern,2015,450,0,Samford,-0.160447761,-86,1,536,0,0.52927,0,0.583333333
The Citadel 2015,Southern,2015,496,0,The Citadel,-0.194805195,-120,1,616,0,0.48002,0,0.413793103
UNCG 2015,Southern,2015,550,0,UNCG,0.498637602,183,1,367,0,0.4708,0,0.428571429
VMI 2015,Southern,2015,177,0,VMI,-0.063492063,-12,1,189,0,0.5091,0,0.520833333
Western Caro. 2015,Southern,2015,405,0,Western Caro.,0.030534351,12,1,393,0,0.54401,0,0.672727273
Wofford 2015,Southern,2015,222,0,Wofford,0.104477612,21,1,201,0,0.48127,0,0.533333333
A&M-Corpus Chris 2015,Southland,2015,587,0,A&M-Corpus Chris,0.115969582,61,1,526,0,0.51316,0,0.526315789
Abilene Christian 2015,Southland,2015,682,0,Abilene Christian,0.014880952,10,1,672,0,0.41252,0,0.266666667
Central Ark. 2015,Southland,2015,412,0,Central Ark.,0.373333333,112,1,300,0,0.51691,0,0.592592593
Houston Baptist 2015,Southland,2015,284,0,Houston Baptist,-0.089743590,-28,1,312,0,0.47473,0,0.450980392
Incarnate Word 2015,Southland,2015,340,0,Incarnate Word,-0.036827195,-13,1,353,0,0.43299,0,0.36
Lamar University 2015,Southland,2015,703,0,Lamar University,-0.048714479,-36,1,739,0,0.4929,0,0.553571429
McNeese 2015,Southland,2015,647,0,McNeese,0.276134122,140,1,507,0,0.50072,0,0.508771930
