,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,55,ATL,Peter Konz,C,23,2014,0,0,2,15,15,39,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,
2,56,PIT,Mike Adams,T,22,2016,0,0,1,12,12,53,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,
2,57,DEN,Brock Osweiler,QB,21,2018,0,0,1,14,7,49,697,1165,7418,37,31,92,266,4,1,-14,0,,,,Arizona St.,College Stats
2,58,TAM,Lavonte David,LB,22,2020,1,1,9,75,75,137,0,0,0,0,0,0,0,0,0,0,0,806,12,24,Nebraska,College Stats
2,59,PHI,Vinny Curry,DE,24,2020,0,0,1,21,18,123,0,0,0,0,0,0,0,0,0,0,0,141,,32.5,Marshall,College Stats
2,60,BAL,Kelechi Osemele,T,23,2020,1,2,6,47,20,101,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa St.,
2,61,SFO,LaMichael James,RB,22,2015,0,0,0,2,2,18,0,0,0,0,0,44,193,0,5,45,0,,,,Oregon,College Stats
2,62,GNB,Casey Hayward,DB,22,2020,0,2,6,46,7,129,0,0,0,0,0,0,0,0,0,0,0,323,23,,Vanderbilt,College Stats
2,63,NYG,Rueben Randle,WR,21,2015,0,0,2,21,21,64,0,0,0,0,0,0,0,0,188,2644,20,,,,LSU,College Stats
3,64,IND,Dwayne Allen,TE,22,2018,0,0,4,12,11,86,0,0,0,0,0,4,6,0,139,1564,20,3,,,Clemson,College Stats
3,65,STL,Trumaine Johnson,DB,22,2019,0,0,5,34,30,102,0,0,0,0,0,0,0,0,0,0,0,339,23,,Montana,
3,66,MIN,Josh Robinson,DB,21,2019,0,0,1,10,9,93,0,0,0,0,0,0,0,0,0,0,0,162,5,,Central Florida,College Stats
