,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,63,KAN,Juan Thornhill,S,23,2020,0,0,2,9,9,32,0,0,0,0,0,0,0,0,0,0,0,75,4,,Virginia,College Stats
2,64,SEA,D.K. Metcalf,WR,21,2020,0,1,2,21,21,32,0,0,0,0,0,2,11,0,141,2203,17,,,,Mississippi,College Stats
3,65,ARI,Zach Allen,DE,22,2020,0,0,1,5,5,17,0,0,0,0,0,0,0,0,0,0,0,26,,2,Boston Col.,College Stats
3,66,PIT,Diontae Johnson,WR,23,2020,0,0,2,13,13,31,0,0,0,0,0,7,56,0,147,1603,12,,,,Toledo,College Stats
3,67,SFO,Jalen Hurd,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Baylor,College Stats
3,68,NYJ,Jachai Polite,LB,22,2020,0,0,0,1,,11,0,0,0,0,0,0,0,0,0,0,0,3,,1,Florida,College Stats
3,69,JAX,Josh Oliver,TE,22,2019,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,15,0,,,,San Jose St.,College Stats
3,70,LAR,Darrell Henderson,RB,22,2020,0,0,1,5,5,28,0,0,0,0,0,177,771,5,20,196,1,,,,Memphis,College Stats
3,71,DEN,Dre'Mont Jones,DT,22,2020,0,0,1,7,7,27,0,0,0,0,0,0,0,0,0,0,0,34,1,10,Ohio St.,College Stats
3,72,CIN,Germaine Pratt,LB,23,2020,0,0,2,11,11,32,0,0,0,0,0,0,0,0,0,0,0,105,,,North Carolina St.,College Stats
3,73,CHI,David Montgomery,RB,22,2020,0,0,1,17,17,31,0,0,0,0,0,489,1959,14,79,623,3,,,,Iowa St.,College Stats
3,74,BUF,Devin Singletary,RB,22,2020,0,0,2,14,14,28,0,0,0,0,0,307,1462,4,67,463,2,,,,Florida Atlantic,College Stats
3,75,GNB,Jace Sternberger,TE,23,2020,0,0,0,1,1,18,0,0,0,0,0,0,0,0,12,114,1,,,,Texas A&M,College Stats
3,76,WAS,Terry McLaurin,WR,23,2020,0,0,2,13,13,29,0,0,0,0,0,2,30,0,145,2037,11,,,,Ohio St.,College Stats
3,77,NWE,Chase Winovich,DE,24,2020,0,0,0,10,10,32,0,0,0,0,0,0,0,0,0,0,0,50,1,11,Michigan,College Stats
3,78,MIA,Michael Deiter,G,23,2020,0,0,1,7,7,32,0,0,0,0,0,0,0,0,1,0,0,,,,Wisconsin,College Stats
3,79,LAR,David Long,CB,21,2020,0,0,0,2,2,24,0,0,0,0,0,0,0,0,0,0,0,14,,,Michigan,College Stats
3,80,CLE,Sione Takitaki,LB,24,2020,0,0,1,8,8,30,0,0,0,0,0,0,0,0,0,0,0,55,1,1,BYU,College Stats
3,81,DET,Will Harris,S,23,2020,0,0,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,56,,1,Boston Col.,College Stats
3,82,TEN,Nate Davis,G,22,2020,0,0,2,16,16,29,0,0,0,0,0,0,0,0,0,0,0,,,,Charlotte,College Stats
3,83,PIT,Justin Layne,CB,21,2020,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,16,,,Michigan St.,College Stats
3,84,KAN,Khalen Saunders,DT,23,2020,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,16,,1,Western Illinois,
3,85,BAL,Jaylon Ferguson,DE,23,2020,0,0,1,7,7,28,0,0,0,0,0,0,0,0,0,0,0,41,,4.5,Louisiana Tech,College Stats
3,86,HOU,Kahale Warring,TE,22,2020,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,35,0,,,,San Diego St.,College Stats
3,87,NWE,Damien Harris,RB,22,2020,0,0,1,5,5,12,0,0,0,0,0,141,703,2,5,52,0,,,,Alabama,College Stats
3,88,SEA,Cody Barton,LB,22,2020,0,0,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,33,,,Utah,College Stats
3,89,IND,Bobby Okereke,LB,23,2020,0,0,2,9,9,30,0,0,0,0,0,0,0,0,0,0,0,105,1,1,Stanford,College Stats
3,90,DAL,Connor McGovern,G,21,2020,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats
3,91,LAC,Trey Pipkins,T,23,2020,0,0,0,6,6,26,0,0,0,0,0,0,0,0,0,0,0,,,,Sioux Falls,
3,92,NYJ,Chuma Edoga,T,22,2020,0,0,0,5,5,19,0,0,0,0,0,0,0,0,0,0,0,,,,USC,College Stats
3,93,BAL,Miles Boykin,WR,22,2020,0,0,2,6,6,32,0,0,0,0,0,0,0,0,32,464,7,2,,,Notre Dame,College Stats
3,94,TAM,Jamel Dean,CB,22,2020,0,0,0,5,5,27,0,0,0,0,0,0,0,0,0,0,0,67,3,,Auburn,College Stats
3,95,NYG,Oshane Ximines,DE,22,2020,0,0,0,3,3,20,0,0,0,0,0,0,0,0,0,0,0,15,,4.5,Old Dominion,College Stats
3,96,BUF,Dawson Knox,TE,22,2020,0,0,2,6,6,27,0,0,0,0,0,1,9,0,52,676,5,,,,Mississippi,College Stats
3,97,LAR,Bobby Evans,T,22,2020,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats
3,98,JAX,Quincy Williams,S,23,2020,0,0,1,3,3,18,0,0,0,0,0,0,0,0,0,0,0,35,,,Murray St.,
3,99,TAM,Mike Edwards,S,23,2020,0,0,0,4,4,31,0,0,0,0,0,0,0,0,0,0,0,39,2,1,Kentucky,College Stats
3,100,CAR,Will Grier,QB,24,2019,0,0,0,1,1,2,28,52,228,0,4,7,22,0,0,0,0,,,,West Virginia,College Stats
3,101,NWE,Yodny Cajuste,T,23,,0,0,0,,,,,,,,,,,,,,,,,,West Virginia,College Stats
3,102,MIN,Alexander Mattison,RB,21,2020,0,0,0,8,8,26,0,0,0,0,0,196,896,3,23,207,1,,,,Boise St.,College Stats
4,103,ARI,Hakeem Butler,WR,23,2020,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa St.,College Stats
4,104,CIN,Ryan Finley,QB,24,2020,0,0,0,2,2,8,58,119,638,3,4,21,143,1,0,0,0,,,,North Carolina St.,College Stats
4,105,NOR,Chauncey Gardner-Johnson,S,21,2020,0,0,1,7,7,31,0,0,0,0,0,0,0,0,0,0,0,90,2,1,Florida,College Stats
4,106,OAK,Maxx Crosby,DE,22,2020,0,0,2,12,12,32,0,0,0,0,0,0,0,0,0,0,0,56,,17,East. Michigan,College Stats
4,107,TAM,Anthony Nelson,DE,22,2020,0,0,0,3,3,25,0,0,0,0,0,0,0,0,0,0,0,12,,1,Iowa,College Stats
4,108,NYG,Julian Love,CB,21,2020,0,0,0,5,5,31,0,0,0,0,0,0,0,0,0,0,0,77,2,,Notre Dame,College Stats
4,109,IND,Khari Willis,S,23,2020,0,0,1,7,7,28,0,0,0,0,0,0,0,0,0,0,0,118,2,2,Michigan St.,College Stats
4,110,SFO,Mitch Wishnowsky,P,27,2020,0,0,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,5,,,Utah,College Stats
4,111,ATL,Kendall Sheffield,CB,23,2020,0,0,0,6,6,29,0,0,0,0,0,0,0,0,0,0,0,70,,,Ohio St.,College Stats
4,112,WAS,Bryce Love,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Stanford,College Stats
4,113,BAL,Justice Hill,RB,21,2020,0,0,0,4,4,28,0,0,0,0,0,70,285,2,13,90,0,6,,,Oklahoma St.,College Stats
4,114,MIN,Dru Samia,G,22,2020,0,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats
4,115,CAR,Christian Miller,LB,23,2019,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,2,,2,Alabama,College Stats
4,116,TEN,Amani Hooker,S,21,2020,0,0,0,3,3,32,0,0,0,0,0,1,4,0,0,0,0,50,4,,Iowa,College Stats
4,117,DET,Austin Bryant,DE,22,2020,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,14,,,Clemson,College Stats
4,118,NWE,Hjalte Froholdt,G,23,2020,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,College Stats
4,119,CLE,Sheldrick Redwine,S,22,2020,0,0,0,4,4,27,0,0,0,0,0,0,0,0,0,0,0,47,1,0.5,Miami (FL),College Stats
4,120,SEA,Gary Jennings Jr,WR,22,2019,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,West Virginia,College Stats
4,121,NYJ,Trevon Wesco,TE,23,2020,0,0,0,0,0,28,0,0,0,0,0,2,2,0,3,52,0,2,,,West Virginia,College Stats
4,122,PIT,Benny Snell Jr.,RB,21,2020,0,0,0,6,6,29,0,0,0,0,0,219,794,6,13,84,0,7,,,Kentucky,College Stats
4,123,BAL,Ben Powers,G,22,2020,0,0,1,5,5,17,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats
4,124,SEA,Phil Haynes,G,23,2020,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Wake Forest,College Stats
4,125,CIN,Renell Wren,DT,23,2019,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,4,,,Arizona St.,College Stats
4,126,CHI,Riley Ridley,WR,23,2020,0,0,0,1,1,10,0,0,0,0,0,0,0,0,10,108,0,,,,Georgia,College Stats
4,127,BAL,Iman Marshall,CB,22,2019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,USC,College Stats
4,128,DAL,Tony Pollard,RB,22,2020,0,0,0,7,7,31,0,0,0,0,0,187,890,6,43,300,2,1,,,Memphis,College Stats
4,129,OAK,Isaiah Johnson,CB,23,2020,0,0,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,8,,,Houston,College Stats
4,130,LAC,Drue Tranquill,LB,24,2020,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,62,,,Notre Dame,College Stats
4,131,WAS,Wes Martin,G,23,2020,0,0,0,5,5,25,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana,College Stats
4,132,SEA,Ugo Amadi,S,22,2020,0,0,1,3,3,30,0,0,0,0,0,0,0,0,0,0,0,60,,,Oregon,College Stats
4,133,NWE,Jarrett Stidham,QB,23,2020,0,0,0,1,1,8,24,48,270,2,4,9,5,0,0,0,0,,,,Auburn,College Stats
4,134,LAR,Greg Gaines,DT,23,2020,0,0,0,3,3,26,0,0,0,0,0,0,0,0,0,0,0,15,,2,Washington,College Stats
4,135,ATL,John Cominsky,DE,23,2020,0,0,0,3,3,23,0,0,0,0,0,0,0,0,0,0,0,17,,1.5,Charleston (WV),
4,136,CIN,Michael Jordan,G,21,2020,0,0,2,8,8,27,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats
4,137,OAK,Foster Moreau,TE,22,2020,0,0,1,2,2,29,0,0,0,0,0,0,0,0,28,314,7,3,,,LSU,College Stats
4,138,PHI,Shareef Miller,DE,22,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats
5,139,ARI,Deionte Thompson,S,22,2020,0,0,0,3,3,24,0,0,0,0,0,0,0,0,0,0,0,32,,,Alabama,College Stats
5,140,JAX,Ryquell Armstead,RB,22,2019,0,0,0,2,2,16,0,0,0,0,0,35,108,0,14,144,2,1,,,Temple,College Stats
5,141,PIT,Zach Gentry,TE,22,2020,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,4,0,,,,Michigan,College Stats
5,142,SEA,Ben Burr-Kirven,LB,21,2020,0,0,0,2,2,32,0,0,0,0,0,0,0,0,0,0,0,10,,,Washington,College Stats
5,143,NYG,Ryan Connelly,LB,23,2020,0,0,0,3,2,18,0,0,0,0,0,0,0,0,0,0,0,16,2,1,Wisconsin,College Stats
5,144,IND,Marvell Tell III,S,23,2019,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,23,,,USC,College Stats
5,145,TAM,Matt Gay,K,25,2020,0,0,0,5,3,23,0,0,0,0,0,0,0,0,0,0,0,1,,,Utah,College Stats
5,146,DET,Amani Oruwariye,CB,23,2020,0,0,1,5,5,25,0,0,0,0,0,0,0,0,0,0,0,63,3,,Penn St.,College Stats
5,147,BUF,Vosean Joseph,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats
5,148,SFO,Dre Greenlaw,LB,22,2020,0,0,2,14,14,29,0,0,0,0,0,0,0,0,0,0,0,125,1,2,Arkansas,College Stats
5,149,OAK,Hunter Renfrow,WR,23,2020,0,0,0,10,10,29,0,0,0,0,0,0,0,0,105,1261,6,1,,,Clemson,College Stats
5,150,GNB,Kingsley Keke,DT,22,2020,0,0,1,6,6,29,0,0,0,0,0,0,0,0,0,0,0,15,,4,Texas A&M,College Stats
5,151,MIA,Andrew Van Ginkel,LB,24,2020,0,0,1,8,8,22,0,0,0,0,0,0,0,0,0,0,0,40,,6.5,Wisconsin,College Stats
5,152,ATL,Qadree Ollison,RB,22,2020,0,0,0,0,0,11,0,0,0,0,0,23,53,4,1,7,0,3,,,Pittsburgh,College Stats
5,153,WAS,Ross Pierschbacher,G,24,2020,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
5,154,CAR,Jordan Scarlett,RB,23,2019,0,0,0,0,0,9,0,0,0,0,0,4,9,0,0,0,0,1,,,Florida,College Stats
5,155,CLE,Mack Wilson,LB,21,2020,0,0,2,10,10,29,0,0,0,0,0,0,0,0,0,0,0,81,1,1,Alabama,College Stats
5,156,DEN,Justin Hollins,LB,23,2020,0,0,0,3,1,31,0,0,0,0,0,0,0,0,0,0,0,30,,4,Oregon,College Stats
5,157,NYJ,Blake Cashman,LB,23,2020,0,0,0,4,4,11,0,0,0,0,0,0,0,0,0,0,0,31,,0.5,Minnesota,College Stats
5,158,DAL,Michael Jackson,CB,22,2020,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Miami (FL),College Stats
5,159,NWE,Byron Cowart,DT,23,2020,0,0,1,8,8,19,0,0,0,0,0,0,0,0,0,0,0,15,,1,Maryland,College Stats
5,160,BAL,Daylon Mack,DT,22,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats
5,161,HOU,Charles Omenihu,DE,22,2020,0,0,0,4,4,29,0,0,0,0,0,0,0,0,0,0,0,19,,7,Texas,College Stats
5,162,MIN,Cameron Smith,LB,22,2019,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,,,USC,College Stats
5,163,NWE,Jake Bailey,P,22,2020,1,1,0,5,5,32,0,0,0,0,0,0,0,0,0,0,0,2,,,Stanford,College Stats
5,164,IND,E.J. Speed,LB,24,2020,0,0,0,2,2,27,0,0,0,0,0,0,0,0,0,0,0,11,,,Tarleton St.,
5,165,DAL,Joe Jackson,DE,22,2020,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,,,Miami (FL),College Stats
5,166,LAC,Easton Stick,QB,23,2020,0,0,0,0,0,1,1,1,4,0,0,1,-2,0,0,0,0,,,,North Dakota St.,
5,167,PHI,Clayton Thorson,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Northwestern,College Stats
5,168,TEN,D'Andre Walker,LB,22,2020,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats
5,169,LAR,David Edwards,T,22,2020,0,0,1,12,12,32,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats
5,170,CLE,Austin Seibert,K,22,2020,0,0,0,2,2,21,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats
5,171,NYG,Darius Slayton,WR,22,2020,0,0,2,12,12,30,0,0,0,0,0,2,-1,0,98,1491,11,,,,Auburn,College Stats
5,172,ATL,Jordan Miller,CB,22,2020,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,4,,,Washington,College Stats
5,173,WAS,Cole Holcomb,LB,23,2020,0,0,2,12,12,27,0,0,0,0,0,0,0,0,0,0,0,119,1,3.5,North Carolina,College Stats
6,174,ARI,KeeSean Johnson,WR,22,2020,0,0,0,4,4,18,0,0,0,0,0,1,3,0,36,360,1,,,,Fresno St.,College Stats
6,175,PIT,Sutton Smith,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Northern Illinois,College Stats
6,176,SFO,Kaden Smith,TE,22,2020,0,0,1,3,,24,0,0,0,0,0,0,0,0,49,380,3,,,,Stanford,College Stats
6,177,NOR,Saquan Hampton,S,23,2020,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,,,Rutgers,College Stats
6,178,JAX,Gardner Minshew II,QB,23,2020,0,0,2,16,16,23,501,797,5530,37,11,96,497,1,1,0,0,,,,Washington St.,College Stats
6,179,ARI,Lamont Gaillard,C,23,2020,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats
6,180,NYG,Corey Ballentine,CB,23,2020,0,0,0,2,2,28,0,0,0,0,0,0,0,0,0,0,0,38,,,Washburn,
6,181,BUF,Jaquan Johnson,CB,23,2020,0,0,0,2,2,27,1,1,13,0,0,0,0,0,0,0,0,10,,,Miami (FL),College Stats
6,182,CIN,Trayveon Williams,RB,21,2020,0,0,0,1,1,21,0,0,0,0,0,26,157,0,5,30,0,,,,Texas A&M,College Stats
6,183,SFO,Justin Skule,T,22,2020,0,0,1,7,7,31,0,0,0,0,0,0,0,0,0,0,0,,,,Vanderbilt,College Stats
6,184,DET,Travis Fulgham,WR,23,2020,0,0,1,3,0,16,0,0,0,0,0,0,0,0,38,539,4,,,,Old Dominion,College Stats
6,185,GNB,Ka'dar Hollman,CB,24,2020,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,7,,,Toledo,College Stats
6,186,DET,Ty Johnson,RB,21,2020,0,0,0,4,2,29,0,0,0,0,0,117,527,1,40,208,1,4,,,Maryland,College Stats
